Time,value
03:23:00,112.31428571428572
03:24:00,159.57894736842104
03:25:00,170.66
03:26:00,127.17460317460318
03:27:00,243.5
03:28:00,201.7333333333333
03:29:00,139.9387755102041
03:30:00,145.9659090909091
03:31:00,167.3720930232558
03:32:00,156.49253731343285
03:33:00,223.0833333333333
03:34:00,217.0116279069768
03:35:00,226.6949152542373
03:36:00,181.7238095238096
03:37:00,198.12765957446808
03:38:00,184.74100719424465
03:39:00,259.8
03:40:00,171.24657534246575
03:41:00,203.15277777777777
03:42:00,179.6829268292683
03:43:00,174.8181818181818
03:44:00,180.40384615384616
03:45:00,349.6969696969697
03:46:00,306.7906976744186
03:47:00,179.42708333333334
03:48:00,145.85625
03:49:00,166.58992805755395
03:50:00,154.1986301369863
03:51:00,149.9784946236559
